deckname,modularity,value
The Hurting Demons Larvae|The Quantums of Metal and Faith,0.2847633136094675,6.356617647058823
The Hurting Demons Larvae|The Phalanx of Everflow Treefolk,0.2658688865764828,6.710526315789473
The Hurting Demons Larvae|The Champions of the Whisker,0.17938775510204077,8.326797385620914
The Hurting Demons Larvae|The Overseers of Sparky,0.26190476190476186,5.757142857142856
The Hurting Demons Larvae|Doctors of Tatoo and Comparing,0.22005170927894283,7.277777777777775
The Hurting Demons Larvae|The Hermit Spiders,0.25000000000000006,7.425000000000001
The Hurting Demons Larvae|The Host of the Confident Miracles,0.24999999999999997,6.058333333333334
The Hurting Demons Larvae|The Pondering Iron Advisers,0.2720661157024793,5.912280701754385
The Hurting Demons Larvae|The Company of Botany,0.3160770031217482,8.051470588235292
The Hurting Demons Larvae|The Raiders of Leading Capitals,0.23798539023452514,6.577205882352941
The Hurting Demons Larvae|The Monks of the Great Quitting Fire,0.22879999999999998,4.827272727272727
The Hurting Demons Larvae|The Mice of the Fierce Fur,0.19637573964497043,7.1761904761904765
The Hurting Demons Larvae|The Senseis who became Champs,0.1967474489795919,7.268382352941174
The Hurting Demons Larvae|The Protectors of the Saving Herbs,0.34297052154195007,4.797385620915032
The Hurting Demons Larvae|The Professing Watchdogs,0.4016326530612244,4.220588235294117
The Hurting Demons Larvae|The Fleeing Feasting Brother Flock,0.30246913580246915,6.63970588235294
The Hurting Demons Larvae|The Squadron of the Fire,0.2775011317338162,5.8125
The Hurting Demons Larvae|Outfit of Camping and Waving,0.26748582230623813,6.187499999999999
The Aunts of Bleeding Brightsteel|The Tentacles of the Diseased Bone,0.16620498614958445,8.505494505494504
The Aunts of Bleeding Brightsteel|The Omnivore Brutish Herders,0.2799586776859504,5.866666666666667
The Aunts of Bleeding Brightsteel|The Former Hoping Valkyrie Trustees,0.32352941176470584,4.623809523809525
The Aunts of Bleeding Brightsteel|The Simple Lords,0.3184806428049672,5.711538461538462
The Aunts of Bleeding Brightsteel|The Fire Breathers of the Heartseeker,0.3,4.066666666666667
The Aunts of Bleeding Brightsteel|Army of Alpha and Curing,0.2825484764542936,5.923076923076924
The Aunts of Bleeding Brightsteel|The Hurting Demons Larvae,0.27403846153846156,6.235294117647057
The Aunts of Bleeding Brightsteel|The Liches of Rebirth and Duskmaw,0.279296875,4.935897435897437
